answer,ANON_USER
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, -2, 2, 30, 45};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, -2, 2, 30, 45};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, -4, 2, 30, 45};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, -4, 2, 30, -6};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, -16, 2, 30, -8};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {3, 3, 3, 3, 3};
int n = 5;
",944
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",699
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45,0};
int n = 6;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45,0,0};
int n = 6;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45,0,0};
int n = 7;",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 0, 30, 45,};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 1, 30, 45,};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 0, 30, 45,};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 10, 30, 45,};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {9, 0, 2, 0, 9};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {1, 0, 2};
int n = 3;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {1, 0, 0};
int n = 3;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {1, 0, 0,2,2,2};
int n = 6;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {1, 0, 0,0,0,0};
int n = 6;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {1, 0, 0,0,0};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {2,0};
int n = 2;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {2,0,2};
int n = 3;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 3, 30, 45};
int n = 5;
",726
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",399
"// You can modify any of these inputs as often as you like:
int values[] = {50, 2, 4, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 6, 4, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 16, 8, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 20, 8, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 40, 8, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 100, 8, 30, 45};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 100, 8, 30, 2};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {2, 100, 8, 30, 2};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {2, 100, 8, 30, 6};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {4, 2, 8, 30, 6};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {4, 2, 2, 30, 6};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {4, 3, 3, 3, 6};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {5, 3, 3, 3, 6};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {5, 3, 3, 3, 5};
int n = 5;
",11
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 1, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, -2, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, -16, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 6, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {51, 25, 3, 7, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 17, 30, 45}};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 17, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 1, 17, 30, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {51, 25, 1, 17, 35, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {-10, 25, 1, 17, 35, 45};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {-10, -10, -10, -10, -10, -10};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {-10, -10, -10, 10, -10, -10};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {-11, -11, -11, 11, -11, -101};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {-11, -10, -11, 11, -10, -101};
int n = 6;
",633
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {4, 2, 6, 8, 10};
int n = 5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {4, 0, 6, -1, 10};
int n = 1;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {4, 0, 6, -1, 10};
int n = -5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {3, 0, 6, 1, 5};
int n = -8;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {-3, 0, -6, 1, 5};
int n = -7;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {-3, 0, -6, 1, 5};
int n = 5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {3, 0, -6, 1, 5};
int n = 5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {1, 2, 3, 4, 5};
int n = 5;
",98
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",145
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {2, 2, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {31, 12, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {2, 2, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {13, 3, 2, 30, 2};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {2, 2, 2, 30, 2};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {42, 82, 52, 30, 60};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 13, 35, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {55, 25, 13, 35, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {2, 2, 2, 30, 45};
int n = 5;
",811
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 6;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 7;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, 2, 30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, -2, 30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, -2, -30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, -25, -2, -30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {-50, -25, -2, -30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {-50, -25, -2, -30, -};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {-50, -25, -2, -30, -45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {-50, -25, -2, -30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {-50, 25, -2, -30, 45};
int n = 5;
",910
"// You can modify any of these inputs as often as you like:
int values[] = {50, 25, -2, -30, 45};
int n = 5;
",910
