_id,clientEquivalenceMap.5,clientEquivalenceMap.1,clientExecuteTestEquivalenceMap.2,clientExecuteTestEquivalenceMap.5,clientEquivalenceMap.2,clientEquivalenceMap.4,clientEquivalenceMap.3,clientExecuteTestEquivalenceMap.3,clientExecuteTestEquivalenceMap.4,clientExecuteTestEquivalenceMap.1
68d9d1efc078163b8fb2176b,,,,,,,,,,
68d9d22fc078163b8fb2176c,1,,,,,,,,,
68d9da4ac078163b8fb21771,1,1,1,1,,,,,,
68d9e47dc078163b8fb21776,1,,,,1,,,,,
68d9e8b9c078163b8fb2177b,,1,,,,,,,,
68d9eb4cc078163b8fb2177d,,,,,1,,,,,
68d9ef2ac078163b8fb21783,,2,,,1,,,,,
68d9f023c078163b8fb21785,,1,,,,1,,,,
68d9f351c078163b8fb21788,1,1,1,1,1,,,,,
68d9fbbfc078163b8fb2178f,1,,2,2,,,2,1,,
68d9fda4c078163b8fb21790,1,1,,,,,,,,
68da0276c078163b8fb21794,1,1,5,5,1,1,,,,
68da0622c078163b8fb21798,1,,,,,,1,,,
68da06f5c078163b8fb2179a,,1,,,1,,1,,,
68da07b5c078163b8fb2179c,,1,,,2,,,,,
68da0969c078163b8fb217a0,,2,4,4,,,,1,,
68da0af4c078163b8fb217a1,,,2,2,,,1,,,
68da22669e845869136257ee,,1,,,,,1,,1,
68da291d9e845869136257f2,1,1,,,,,1,,,
68da31879e845869136257f5,1,,,,,,1,,,
68da3e0d9e845869136257fa,,,1,1,1,,,,,
68da4bdd9e845869136257fc,1,1,2,2,,,1,,,
68da52df9e845869136257fe,1,,,,,,,,,
68da5af49e84586913625801,,,,,,,,,,
68da5efe9e84586913625803,,,7,5,,,,,,1
68da5f329e84586913625804,,1,,,,,,,,
68da63e59e84586913625808,,,,,,,,,,
68da69809e8458691362580b,1,,1,1,,,,,,
68dad8cdefaeec64e5eb710e,1,,,,,,1,,,
68daee6aefaeec64e5eb7110,1,1,,,,,1,,,
68daf47defaeec64e5eb7112,2,,1,,2,,,,,
68daf64eefaeec64e5eb7116,,,1,1,,,,,,
68daf762efaeec64e5eb7117,1,,,,1,,,,,
68dafa50efaeec64e5eb711d,1,1,1,2,1,1,,,,
68dafb9aefaeec64e5eb7120,1,,1,1,,,,,,
68dafc05efaeec64e5eb7122,1,1,,,,,,,,
68dafc61efaeec64e5eb7124,1,1,,1,,,2,,,
68db002aefaeec64e5eb712a,1,1,,,,,,,,
68db0178efaeec64e5eb712d,,,,,,1,,,,
68db042cefaeec64e5eb7132,,1,,,,,1,,,
68db055aefaeec64e5eb7134,,1,,,,,1,,,
68db0833efaeec64e5eb713a,2,,,,,,,,,
68db09d4efaeec64e5eb713f,1,1,2,2,,,2,1,,
68db0ef2efaeec64e5eb7141,,1,,,,,,,,
68db1a9fefaeec64e5eb7145,1,1,4,3,,1,1,,,
68db1acdefaeec64e5eb7146,2,,1,2,1,,,,,
68db1e22efaeec64e5eb7148,2,1,1,1,,,,,,
68db1ee6efaeec64e5eb714b,,1,,,,,1,,,
68db20e2efaeec64e5eb714f,,,1,1,,1,,,,1
68db21bbefaeec64e5eb7152,,,,1,,,,,,
68db2256efaeec64e5eb7153,1,,,,1,,,,,
68db24f1efaeec64e5eb715c,1,1,,1,,,1,,,
68db255fefaeec64e5eb715d,,2,1,1,1,1,,,1,
68db26bbefaeec64e5eb7160,,,,,1,,,,,
68db2756efaeec64e5eb7162,,2,,,1,,2,,,
68db2815efaeec64e5eb7167,1,,,,,,,,,1
68db2838efaeec64e5eb7169,,,,,1,,,,,
68db2839efaeec64e5eb716a,,,1,1,1,,,,,
68db2851efaeec64e5eb716c,,1,,,,,,,,
68db2888efaeec64e5eb716d,,1,1,1,,,,,,
68db2904efaeec64e5eb7170,,1,,,,,1,,,
68db2a22efaeec64e5eb7176,,1,,,,,,,,
68db2ca4efaeec64e5eb717b,2,1,1,1,,,,,,
68db2e89efaeec64e5eb717f,1,,,,2,,,,,
68db2f99efaeec64e5eb7181,1,,,,,,1,,,
68db31e5efaeec64e5eb7184,1,,2,2,2,,,,,
68db3440efaeec64e5eb718a,1,,,,,,1,,,
68db360cefaeec64e5eb718f,1,,1,1,2,,,,,1
68db3652efaeec64e5eb7191,,1,,1,,,,,,
68db36aaefaeec64e5eb7192,,,,,,,,,,
68db37c3efaeec64e5eb7195,,,1,1,1,,,,,
68db383defaeec64e5eb7197,,1,,,,,,,1,
68db3af0efaeec64e5eb71a0,,,1,1,1,,,,,
68db3b1fefaeec64e5eb71a1,,,1,1,,,,,,
68db3b5befaeec64e5eb71a2,,,1,1,,,,,,
68db3d22efaeec64e5eb71a5,,1,1,1,,,1,1,,
68db3e10efaeec64e5eb71ad,,1,,,,,1,,,
68db3e4defaeec64e5eb71ae,,,2,1,1,,,,,1
68db3fc8efaeec64e5eb71b3,,,,,1,,2,,,
68db4020efaeec64e5eb71b8,1,,,,,,,,,
68db404aefaeec64e5eb71b9,1,,,,,,,,,
68db407eefaeec64e5eb71ba,1,,1,1,,,,,,
68db4080efaeec64e5eb71bb,1,,,,,,1,,,
68db41cfefaeec64e5eb71c0,1,1,,,,,,,,
68db41edefaeec64e5eb71c2,,1,1,1,,,,,,
68db41f9efaeec64e5eb71c3,,,1,1,,,,,,
68db4269efaeec64e5eb71c7,1,,,,,,,,,
68db431defaeec64e5eb71cc,,,,,1,,,,,
68db43acefaeec64e5eb71d1,,1,1,1,,,,,,
68db43feefaeec64e5eb71d3,,1,1,1,,,1,,,
68db4435efaeec64e5eb71d4,1,,,,1,1,1,,,
68db44abefaeec64e5eb71d8,1,,,,,,1,,,
68db4568efaeec64e5eb71da,1,,,2,,,,1,,1
68db4583efaeec64e5eb71dd,1,,,,,,,,,
68db467defaeec64e5eb71e1,,,,,,,2,,,
68db4880efaeec64e5eb71eb,,,1,1,2,,,,,
68db4968efaeec64e5eb71ee,,1,1,1,3,,1,,,
68db4cbeefaeec64e5eb71f7,1,,1,1,1,,,,,
68db4d27efaeec64e5eb71fa,1,,1,1,,,,,,
68db4d73efaeec64e5eb71fb,,1,,,,,,,,
68db4e27efaeec64e5eb71fe,,,,,,,,,,
68db4ffeefaeec64e5eb7204,,1,1,1,,,,,,
68db5273efaeec64e5eb720b,,,,,,,,,,
68db52acefaeec64e5eb720d,,,,,2,,,,,
68db5674efaeec64e5eb7219,1,,,1,,,,,,
68db56c7efaeec64e5eb721a,,,,,,,1,,,
68db57c8efaeec64e5eb721e,1,,,,3,,1,,,
68db5af6efaeec64e5eb7223,1,1,,,,,,,,
68db5b67efaeec64e5eb7227,,,3,5,1,,1,3,,
68db5c4cefaeec64e5eb722b,,,,,1,,,,,
68db5c8defaeec64e5eb722c,,1,2,3,,,,,,
68db5de1efaeec64e5eb7231,1,1,,2,,,1,2,,
68db6103efaeec64e5eb723c,,1,1,2,,,1,,,
68db613aefaeec64e5eb723e,,1,,1,,,,,,
68db61fbefaeec64e5eb7240,,1,2,2,,,1,,,
68db6214efaeec64e5eb7241,,,,,,,,,,
68db6524efaeec64e5eb7246,,1,1,1,1,,1,1,,
68db662defaeec64e5eb7248,,,,,1,,,,,
68db6760efaeec64e5eb724b,,,,,,,,,,
68db6af3efaeec64e5eb724d,2,1,,1,,,2,1,,
68db753fefaeec64e5eb725a,,,,,,,,,,
68db762fefaeec64e5eb725e,,1,,,,,,,,
68db7701efaeec64e5eb7260,1,,1,1,,,,,,
68db7891efaeec64e5eb7261,1,1,1,3,,,,2,,
68db7b1eefaeec64e5eb7266,,,,,2,,,,,
68db7d27efaeec64e5eb7268,,,,,1,,,,,
68db8131efaeec64e5eb726f,,2,,,,,,,,
68db81f4efaeec64e5eb7271,1,,,,3,,1,,,
68db82fdefaeec64e5eb7274,,,1,1,1,,,,,
68db8436efaeec64e5eb7277,,,1,1,,,,,,
68db8594efaeec64e5eb7279,1,2,,,,,,,,
68db8723efaeec64e5eb7280,1,1,1,1,,,,,,
68db896aefaeec64e5eb7288,1,2,2,2,1,,1,1,,1
68db8b0fefaeec64e5eb728b,,,,,,,,,,
68db8c14efaeec64e5eb728d,,,1,1,,,,,,
68db8e2defaeec64e5eb7290,,2,2,2,,,,,,
68db8ed8efaeec64e5eb7291,,2,,,,,,,,
68db92d9efaeec64e5eb7295,,,,,,,,,,1
68db95aaefaeec64e5eb7299,,1,2,4,2,1,,2,2,1
68db9bceefaeec64e5eb72a0,2,2,3,3,1,,1,1,,1
68db9bf5efaeec64e5eb72a1,1,,,,,1,,,,
68dba2c6efaeec64e5eb72a5,,,,,,,,,,
68dba43fefaeec64e5eb72a8,,3,2,2,,,,1,,
68dba60fefaeec64e5eb72ae,,1,,,1,,,,,
68dba7e0efaeec64e5eb72b0,1,,,,1,,,,,
68dba9d7efaeec64e5eb72b3,1,,,,1,,1,,,
68dbc230efaeec64e5eb72c0,1,1,1,1,,,1,,,
68dbc842efaeec64e5eb72c4,1,,1,1,2,,,,,
68dbcfcaefaeec64e5eb72c6,1,1,,,,,1,,,
68dbeddbefaeec64e5eb72cd,1,,,,1,,,,,
68dc29f9efaeec64e5eb72d0,,,,1,,,1,,,
68dc3916efaeec64e5eb72d5,,,,,,,,,,
