anon_user,constraints_found,out_of
68d9d1efc078163b8fb2176b,0,5
68d9d22fc078163b8fb2176c,1,5
68d9da4ac078163b8fb21771,3,5
68d9e47dc078163b8fb21776,2,5
68d9e8b9c078163b8fb2177b,1,5
68d9eb4cc078163b8fb2177d,1,5
68d9ef2ac078163b8fb21783,2,5
68d9f023c078163b8fb21785,2,5
68d9f351c078163b8fb21788,3,5
68d9fbbfc078163b8fb2178f,3,5
68d9fda4c078163b8fb21790,2,5
68da0276c078163b8fb21794,4,5
68da0622c078163b8fb21798,2,5
68da06f5c078163b8fb2179a,3,5
68da07b5c078163b8fb2179c,2,5
68da0969c078163b8fb217a0,4,5
68da0af4c078163b8fb217a1,3,5
68da22669e845869136257ee,3,5
68da291d9e845869136257f2,3,5
68da31879e845869136257f5,2,5
68da3e0d9e845869136257fa,2,5
68da4bdd9e845869136257fc,4,5
68da52df9e845869136257fe,1,5
68da5af49e84586913625801,0,5
68da5efe9e84586913625803,3,5
68da5f329e84586913625804,1,5
68da63e59e84586913625808,0,5
68da69809e8458691362580b,2,5
68dad8cdefaeec64e5eb710e,2,5
68daee6aefaeec64e5eb7110,3,5
68daf47defaeec64e5eb7112,2,5
68daf64eefaeec64e5eb7116,2,5
68daf762efaeec64e5eb7117,2,5
68dafa50efaeec64e5eb711d,4,5
68dafb9aefaeec64e5eb7120,2,5
68dafc05efaeec64e5eb7122,2,5
68dafc61efaeec64e5eb7124,3,5
68db002aefaeec64e5eb712a,2,5
68db0178efaeec64e5eb712d,1,5
68db042cefaeec64e5eb7132,2,5
68db055aefaeec64e5eb7134,2,5
68db0833efaeec64e5eb713a,1,5
68db09d4efaeec64e5eb713f,4,5
68db0ef2efaeec64e5eb7141,1,5
68db1a9fefaeec64e5eb7145,5,5
68db1acdefaeec64e5eb7146,2,5
68db1e22efaeec64e5eb7148,3,5
68db1ee6efaeec64e5eb714b,2,5
68db20e2efaeec64e5eb714f,4,5
68db21bbefaeec64e5eb7152,1,5
68db2256efaeec64e5eb7153,2,5
68db24f1efaeec64e5eb715c,3,5
68db255fefaeec64e5eb715d,4,5
68db26bbefaeec64e5eb7160,1,5
68db2756efaeec64e5eb7162,3,5
68db2815efaeec64e5eb7167,2,5
68db2838efaeec64e5eb7169,1,5
68db2839efaeec64e5eb716a,2,5
68db2851efaeec64e5eb716c,1,5
68db2888efaeec64e5eb716d,3,5
68db2904efaeec64e5eb7170,2,5
68db2a22efaeec64e5eb7176,1,5
68db2ca4efaeec64e5eb717b,3,5
68db2e89efaeec64e5eb717f,2,5
68db2f99efaeec64e5eb7181,2,5
68db31e5efaeec64e5eb7184,2,5
68db3440efaeec64e5eb718a,2,5
68db360cefaeec64e5eb718f,3,5
68db3652efaeec64e5eb7191,2,5
68db36aaefaeec64e5eb7192,0,5
68db37c3efaeec64e5eb7195,2,5
68db383defaeec64e5eb7197,2,5
68db3af0efaeec64e5eb71a0,2,5
68db3b1fefaeec64e5eb71a1,2,5
68db3b5befaeec64e5eb71a2,2,5
68db3d22efaeec64e5eb71a5,4,5
68db3e10efaeec64e5eb71ad,2,5
68db3e4defaeec64e5eb71ae,3,5
68db3fc8efaeec64e5eb71b3,2,5
68db4020efaeec64e5eb71b8,1,5
68db404aefaeec64e5eb71b9,1,5
68db407eefaeec64e5eb71ba,2,5
68db4080efaeec64e5eb71bb,2,5
68db41cfefaeec64e5eb71c0,2,5
68db41edefaeec64e5eb71c2,3,5
68db41f9efaeec64e5eb71c3,2,5
68db4269efaeec64e5eb71c7,1,5
68db431defaeec64e5eb71cc,1,5
68db43acefaeec64e5eb71d1,3,5
68db43feefaeec64e5eb71d3,4,5
68db4435efaeec64e5eb71d4,4,5
68db44abefaeec64e5eb71d8,2,5
68db4568efaeec64e5eb71da,3,5
68db4583efaeec64e5eb71dd,1,5
68db467defaeec64e5eb71e1,1,5
68db4880efaeec64e5eb71eb,2,5
68db4968efaeec64e5eb71ee,4,5
68db4cbeefaeec64e5eb71f7,2,5
68db4d27efaeec64e5eb71fa,2,5
68db4d73efaeec64e5eb71fb,1,5
68db4e27efaeec64e5eb71fe,0,5
68db4ffeefaeec64e5eb7204,3,5
68db5273efaeec64e5eb720b,0,5
68db52acefaeec64e5eb720d,1,5
68db5674efaeec64e5eb7219,1,5
68db56c7efaeec64e5eb721a,1,5
68db57c8efaeec64e5eb721e,3,5
68db5af6efaeec64e5eb7223,2,5
68db5b67efaeec64e5eb7227,3,5
68db5c4cefaeec64e5eb722b,1,5
68db5c8defaeec64e5eb722c,3,5
68db5de1efaeec64e5eb7231,3,5
68db6103efaeec64e5eb723c,4,5
68db613aefaeec64e5eb723e,2,5
68db61fbefaeec64e5eb7240,4,5
68db6214efaeec64e5eb7241,0,5
68db6524efaeec64e5eb7246,4,5
68db662defaeec64e5eb7248,1,5
68db6760efaeec64e5eb724b,0,5
68db6af3efaeec64e5eb724d,3,5
68db753fefaeec64e5eb725a,0,5
68db762fefaeec64e5eb725e,1,5
68db7701efaeec64e5eb7260,2,5
68db7891efaeec64e5eb7261,4,5
68db7b1eefaeec64e5eb7266,1,5
68db7d27efaeec64e5eb7268,1,5
68db8131efaeec64e5eb726f,1,5
68db81f4efaeec64e5eb7271,3,5
68db82fdefaeec64e5eb7274,2,5
68db8436efaeec64e5eb7277,2,5
68db8594efaeec64e5eb7279,2,5
68db8723efaeec64e5eb7280,3,5
68db896aefaeec64e5eb7288,4,5
68db8b0fefaeec64e5eb728b,0,5
