metric,value
n_users,836
total_chat_messages,5766
total_oracle_executions,4892
difference_chat_minus_oracle_totals,874
users_chat_greater,506
users_oracle_greater,237
users_tied,93
non_ties,743
mean_diff_per_user,1.045455
median_diff_per_user,2.000000
sign_test_diff_two_sided_p,0.0000000000
prop_chat_wins_among_non_ties_diff,0.681023
prop_chat_wins_wilson95_diff_lo,0.646651
prop_chat_wins_wilson95_diff_hi,0.713532
wilcoxon_diff_z,-7.259555
wilcoxon_diff_two_sided_p,0.0000000000
n_users_with_any_msgs_for_prop,764
sign_test_prop_two_sided_p,0.0000000000
prop_gt_half_among_non_ties_prop,0.681023
prop_gt_half_wilson95_prop_lo,0.646651
prop_gt_half_wilson95_prop_hi,0.713532
wilcoxon_prop_z,-11.816352
wilcoxon_prop_two_sided_p,0.0000000000
cap_per_user_applied,
