_id,failedAttempts,oracleEquivalenceMap.2,oracleEquivalenceMap.3,oracleEquivalenceMap.4,oracleEquivalenceMap.8,oracleEquivalenceMap.5,oracleEquivalenceMap.6,oracleEquivalenceMap.7,oracleEquivalenceMap.1
68d9d432c078163b8fb2176d,11,3,3,3,3,,,,
68d9d7ffc078163b8fb2176f,5,3,3,3,3,1,1,1,
68d9dc5ac078163b8fb21772,3,14,13,13,14,7,7,8,4
68d9e608c078163b8fb21779,8,2,2,2,2,,,,
68d9eba3c078163b8fb2177e,3,8,8,5,5,,3,,
68d9ec1bc078163b8fb2177f,3,8,6,4,4,1,4,2,
68d9f29dc078163b8fb21787,6,5,5,5,5,1,1,1,
68d9f859c078163b8fb2178a,10,15,15,13,14,6,7,6,6
68d9ff13c078163b8fb21791,2,13,7,8,10,6,9,8,1
68da01e3c078163b8fb21793,9,9,7,4,6,3,5,4,
68da0696c078163b8fb21799,13,2,2,2,2,1,1,1,
68da07a9c078163b8fb2179b,16,5,4,4,3,1,2,2,1
68da0c16c078163b8fb217a2,0,4,4,3,5,,1,,
68da0e803ed3d73d0ac5a56a,3,10,6,4,8,6,7,8,1
68da20e49e845869136257ec,4,4,4,2,4,3,3,3,
68da282f9e845869136257f0,4,23,23,23,22,15,15,15,4
68da2ebb9e845869136257f3,2,11,11,9,11,5,5,5,3
68da33249e845869136257f6,9,6,5,3,4,1,3,1,
68da57e59e845869136257ff,3,4,2,3,2,1,2,2,
68da61e89e84586913625806,5,7,4,5,5,2,3,3,
68da62a29e84586913625807,0,,,,,,,,
68da6b679e8458691362580c,4,4,4,2,3,,2,,
68da75149e8458691362580e,4,13,13,13,13,3,3,3,
68daf56eefaeec64e5eb7113,2,13,9,11,10,1,2,4,1
68daf877efaeec64e5eb7119,7,4,2,2,2,1,2,2,
68daf9b5efaeec64e5eb711b,6,6,5,5,5,2,3,3,2
68dafa10efaeec64e5eb711c,2,7,5,5,6,3,4,4,1
68dafc6defaeec64e5eb7125,7,2,2,1,1,,1,,
68daffbaefaeec64e5eb7129,3,4,3,4,3,,,1,
68db0254efaeec64e5eb712e,1,9,6,7,7,4,5,5,
68db02a2efaeec64e5eb712f,16,13,11,12,10,1,2,3,3
68db052cefaeec64e5eb7133,1,9,6,5,6,4,6,5,
68db05e7efaeec64e5eb7135,2,4,4,4,2,2,2,2,2
68db07aeefaeec64e5eb7139,27,1,1,1,1,,,,
68db08c1efaeec64e5eb713b,2,14,11,7,10,3,7,4,1
68db1002efaeec64e5eb7142,23,8,8,7,7,2,3,2,2
68db2121efaeec64e5eb7150,0,10,7,5,9,5,6,6,3
68db22bcefaeec64e5eb7155,3,4,3,2,3,1,2,1,
68db234defaeec64e5eb7157,9,7,5,3,6,2,4,2,
68db23f4efaeec64e5eb7158,2,1,1,1,1,,,,
68db2469efaeec64e5eb7159,24,1,1,1,1,,,,
68db2491efaeec64e5eb715a,6,2,2,2,2,,,,
68db2849efaeec64e5eb716b,0,,,,,,,,
68db29ebefaeec64e5eb7175,9,2,2,2,2,,,,
68db3206efaeec64e5eb7185,9,24,19,17,14,8,13,12,6
68db3269efaeec64e5eb7186,7,1,1,1,1,,,,
68db33b6efaeec64e5eb7188,16,9,8,7,6,3,5,4,3
68db3581efaeec64e5eb718c,12,7,6,4,6,2,3,2,
68db359aefaeec64e5eb718d,7,8,8,6,7,4,5,4,
68db3875efaeec64e5eb7198,11,7,7,7,7,1,1,1,
68db38e3efaeec64e5eb7199,6,1,1,1,1,,,,
68db3cf6efaeec64e5eb71a4,4,9,8,5,8,4,5,4,1
68db3d46efaeec64e5eb71a7,2,3,2,2,3,1,2,2,1
68db3da8efaeec64e5eb71a9,14,3,3,2,3,2,2,2,1
68db3debefaeec64e5eb71ac,4,2,2,2,2,,,,
68db3f3aefaeec64e5eb71b0,4,6,5,3,3,1,3,2,
68db3fd3efaeec64e5eb71b4,3,9,4,7,8,4,5,6,4
68db3fd7efaeec64e5eb71b5,1,6,5,3,3,1,3,2,1
68db41cfefaeec64e5eb71c1,9,21,20,12,17,5,9,5,
68db425eefaeec64e5eb71c5,26,3,3,3,3,1,1,1,
68db4273efaeec64e5eb71c8,2,4,4,3,4,2,3,2,3
68db4288efaeec64e5eb71c9,4,8,8,8,10,7,7,7,5
68db42bfefaeec64e5eb71cb,10,1,1,1,1,,,,
68db4341efaeec64e5eb71cd,2,12,10,8,9,4,7,5,4
68db439fefaeec64e5eb71d0,11,9,6,6,5,3,5,5,
68db44cdefaeec64e5eb71d9,2,12,10,9,9,2,5,4,4
68db456cefaeec64e5eb71db,26,3,3,3,3,2,2,2,
68db459befaeec64e5eb71de,21,1,1,1,1,,,,
68db477cefaeec64e5eb71e5,6,9,6,4,5,2,5,4,
68db4780efaeec64e5eb71e6,2,4,3,3,2,,1,1,
68db47bfefaeec64e5eb71e7,11,3,3,2,3,1,1,1,
68db4956efaeec64e5eb71ec,7,14,12,8,8,1,6,2,3
68db498cefaeec64e5eb71ef,17,7,7,5,6,3,4,3,
68db4b8aefaeec64e5eb71f4,3,4,4,4,4,2,2,2,
68db4e64efaeec64e5eb71ff,4,8,4,4,5,3,4,5,
68db4e71efaeec64e5eb7200,11,1,1,1,1,,,,
