_id,failedAttempts,classes_hit,total_classes
68d9d63fc078163b8fb2176e,2,4,6
68d9def3c078163b8fb21773,3,1,6
68d9e5abc078163b8fb21778,7,4,6
68d9ecabc078163b8fb21780,5,2,6
68d9ee3bc078163b8fb21782,26,1,6
68d9f774c078163b8fb21789,4,3,6
68d9fb49c078163b8fb2178d,2,4,6
68da04dbc078163b8fb21796,0,4,6
68da0892c078163b8fb2179e,6,4,6
68da0c88c078163b8fb217a3,4,1,6
68da0ee83ed3d73d0ac5a56b,8,3,6
68da0f1a3ed3d73d0ac5a56c,10,3,6
68da1ae39e845869136257eb,13,3,6
68da25f39e845869136257ef,7,4,6
68da35d19e845869136257f7,1,4,6
68da38369e845869136257f8,9,3,6
68da68e19e8458691362580a,1,5,6
68da71ad9e8458691362580d,6,3,6
68da84a89e8458691362580f,2,5,6
68dafbf7efaeec64e5eb7121,1,6,6
68dafc3fefaeec64e5eb7123,6,3,6
68dafd91efaeec64e5eb7126,2,4,6
68db00b2efaeec64e5eb712c,3,6,6
68db03bdefaeec64e5eb7131,2,3,6
68db090eefaeec64e5eb713c,3,5,6
68db095eefaeec64e5eb713d,3,4,6
68db09baefaeec64e5eb713e,1,5,6
68db213defaeec64e5eb7151,3,6,6
68db2664efaeec64e5eb715e,6,3,6
68db293defaeec64e5eb7171,1,5,6
68db2973efaeec64e5eb7173,10,1,6
68db2b4eefaeec64e5eb7179,0,6,6
68db2b99efaeec64e5eb717a,3,4,6
68db2d7eefaeec64e5eb717c,39,0,6
68db3496efaeec64e5eb718b,5,0,6
68db373fefaeec64e5eb7194,2,6,6
68db3a38efaeec64e5eb719c,0,2,6
68db3a40efaeec64e5eb719d,7,6,6
68db3ab1efaeec64e5eb719e,4,6,6
68db3c9aefaeec64e5eb71a3,5,3,6
68db3d3eefaeec64e5eb71a6,10,1,6
68db3f1defaeec64e5eb71af,10,1,6
68db41fdefaeec64e5eb71c4,1,5,6
68db43f6efaeec64e5eb71d2,2,2,6
68db457befaeec64e5eb71dc,2,5,6
68db45bfefaeec64e5eb71df,0,5,6
68db46bfefaeec64e5eb71e2,5,1,6
68db4726efaeec64e5eb71e3,9,0,6
68db4765efaeec64e5eb71e4,1,5,6
68db480befaeec64e5eb71e8,7,2,6
68db495defaeec64e5eb71ed,5,6,6
68db49baefaeec64e5eb71f0,1,0,6
68db49d9efaeec64e5eb71f1,9,4,6
68db4a62efaeec64e5eb71f2,7,1,6
68db4bcbefaeec64e5eb71f5,3,1,6
68db4ccfefaeec64e5eb71f8,1,4,6
68db4d23efaeec64e5eb71f9,16,0,6
68db4d87efaeec64e5eb71fc,0,5,6
68db4d88efaeec64e5eb71fd,6,4,6
68db5264efaeec64e5eb7209,3,4,6
68db5281efaeec64e5eb720c,9,6,6
68db52f3efaeec64e5eb720e,9,1,6
68db52f5efaeec64e5eb720f,5,1,6
68db5366efaeec64e5eb7210,5,2,6
68db54ccefaeec64e5eb7212,28,1,6
68db5519efaeec64e5eb7213,11,1,6
68db5559efaeec64e5eb7215,6,4,6
68db559defaeec64e5eb7217,23,4,6
68db5710efaeec64e5eb721c,5,1,6
68db5788efaeec64e5eb721d,1,5,6
68db5b53efaeec64e5eb7225,0,5,6
68db5b58efaeec64e5eb7226,3,4,6
68db5c06efaeec64e5eb722a,7,2,6
68db5da5efaeec64e5eb722f,3,3,6
68db5e48efaeec64e5eb7232,18,1,6
68db5ecdefaeec64e5eb7233,1,5,6
68db5fedefaeec64e5eb7236,5,1,6
68db61ddefaeec64e5eb723f,2,3,6
68db64ccefaeec64e5eb7245,21,2,6
68db6c8eefaeec64e5eb724e,12,6,6
68db6e6cefaeec64e5eb7251,15,3,6
68db6e94efaeec64e5eb7252,1,4,6
68db6f0cefaeec64e5eb7253,2,0,6
68db70e7efaeec64e5eb7254,7,4,6
68db736fefaeec64e5eb7255,20,2,6
68db74afefaeec64e5eb7257,2,2,6
68db7621efaeec64e5eb725d,6,2,6
68db7916efaeec64e5eb7264,6,2,6
68db7960efaeec64e5eb7265,0,6,6
68db7de2efaeec64e5eb726a,12,3,6
68db7e44efaeec64e5eb726b,9,5,6
68db8416efaeec64e5eb7276,6,1,6
68db864aefaeec64e5eb727c,3,2,6
68db8754efaeec64e5eb7281,6,1,6
68db87f0efaeec64e5eb7283,2,4,6
68db89f3efaeec64e5eb7289,6,6,6
68db8b16efaeec64e5eb728c,5,3,6
68db8d9fefaeec64e5eb728f,12,2,6
68db957befaeec64e5eb7298,5,4,6
68db9636efaeec64e5eb729a,2,4,6
68db9b3eefaeec64e5eb729f,5,2,6
68db9d0fefaeec64e5eb72a2,3,5,6
68db9e23efaeec64e5eb72a3,2,2,6
68dba84defaeec64e5eb72b1,17,2,6
68dbaa9fefaeec64e5eb72b4,5,5,6
68dbac1cefaeec64e5eb72b8,1,6,6
68dbad07efaeec64e5eb72b9,5,1,6
68dbae84efaeec64e5eb72bb,3,5,6
68dbafedefaeec64e5eb72bc,7,2,6
68dbb5d3efaeec64e5eb72be,12,0,6
68dbd4f7efaeec64e5eb72c8,4,3,6
68dbd824efaeec64e5eb72c9,1,4,6
68dbdf48efaeec64e5eb72cb,7,3,6
68dc0fd9efaeec64e5eb72cf,33,0,6
68dc3411efaeec64e5eb72d3,2,3,6
68dc39a7efaeec64e5eb72d7,3,3,6
68dc3e22efaeec64e5eb72dc,2,4,6
68dc4067efaeec64e5eb72e2,9,3,6
68dc4550efaeec64e5eb72e4,24,3,6
68dc4bc6efaeec64e5eb72ef,5,1,6
68dc4c73efaeec64e5eb72f2,6,1,6
68dc4cc5efaeec64e5eb72f3,3,4,6
68dc51ddefaeec64e5eb7304,14,2,6
68dc524fefaeec64e5eb7306,4,4,6
68dc54e9efaeec64e5eb7310,6,4,6
68dc58d4efaeec64e5eb7327,8,0,6
68dc5932efaeec64e5eb732a,1,5,6
68dc5aeeefaeec64e5eb7331,0,6,6
68dc5b71efaeec64e5eb7333,4,0,6
68dc5d64efaeec64e5eb7338,4,4,6
