_id,failedAttempts,clientEquivalenceMap.5,clientEquivalenceMap.1,clientExecuteTestEquivalenceMap.2,clientExecuteTestEquivalenceMap.5,clientEquivalenceMap.2,clientEquivalenceMap.4,clientEquivalenceMap.3,clientExecuteTestEquivalenceMap.3,clientExecuteTestEquivalenceMap.4,clientExecuteTestEquivalenceMap.1
68d9d1efc078163b8fb2176b,7,,,,,,,,,,
68d9d22fc078163b8fb2176c,8,1,,,,,,,,,
68d9da4ac078163b8fb21771,2,1,1,1,1,,,,,,
68d9e47dc078163b8fb21776,3,1,,,,1,,,,,
68d9e8b9c078163b8fb2177b,4,,1,,,,,,,,
68d9eb4cc078163b8fb2177d,3,,,,,1,,,,,
68d9ef2ac078163b8fb21783,28,,2,,,1,,,,,
68d9f023c078163b8fb21785,1,,1,,,,1,,,,
68d9f351c078163b8fb21788,8,1,1,1,1,1,,,,,
68d9fbbfc078163b8fb2178f,3,1,,2,2,,,2,1,,
68d9fda4c078163b8fb21790,10,1,1,,,,,,,,
68da0276c078163b8fb21794,18,1,1,5,5,1,1,,,,
68da0622c078163b8fb21798,4,1,,,,,,1,,,
68da06f5c078163b8fb2179a,8,,1,,,1,,1,,,
68da07b5c078163b8fb2179c,15,,1,,,2,,,,,
68da0969c078163b8fb217a0,1,,2,4,4,,,,1,,
68da0af4c078163b8fb217a1,3,,,2,2,,,1,,,
68da22669e845869136257ee,0,,1,,,,,1,,1,
68da291d9e845869136257f2,0,1,1,,,,,1,,,
68da31879e845869136257f5,1,1,,,,,,1,,,
68da3e0d9e845869136257fa,4,,,1,1,1,,,,,
68da4bdd9e845869136257fc,1,1,1,2,2,,,1,,,
68da52df9e845869136257fe,6,1,,,,,,,,,
68da5af49e84586913625801,17,,,,,,,,,,
68da5efe9e84586913625803,2,,,7,5,,,,,,1
68da5f329e84586913625804,2,,1,,,,,,,,
68da63e59e84586913625808,4,,,,,,,,,,
68da69809e8458691362580b,5,1,,1,1,,,,,,
68dad8cdefaeec64e5eb710e,8,1,,,,,,1,,,
68daee6aefaeec64e5eb7110,2,1,1,,,,,1,,,
68daf47defaeec64e5eb7112,2,2,,1,,2,,,,,
68daf64eefaeec64e5eb7116,2,,,1,1,,,,,,
68daf762efaeec64e5eb7117,2,1,,,,1,,,,,
68dafa50efaeec64e5eb711d,1,1,1,1,2,1,1,,,,
68dafb9aefaeec64e5eb7120,13,1,,1,1,,,,,,
68dafc05efaeec64e5eb7122,1,1,1,,,,,,,,
68dafc61efaeec64e5eb7124,1,1,1,,1,,,2,,,
68db002aefaeec64e5eb712a,2,1,1,,,,,,,,
68db0178efaeec64e5eb712d,13,,,,,,1,,,,
68db042cefaeec64e5eb7132,1,,1,,,,,1,,,
68db055aefaeec64e5eb7134,0,,1,,,,,1,,,
68db0833efaeec64e5eb713a,9,2,,,,,,,,,
68db09d4efaeec64e5eb713f,0,1,1,2,2,,,2,1,,
68db0ef2efaeec64e5eb7141,4,,1,,,,,,,,
68db1a9fefaeec64e5eb7145,2,1,1,4,3,,1,1,,,
68db1acdefaeec64e5eb7146,0,2,,1,2,1,,,,,
