AmbiguitiesFound,failedAttempts
1,11
4,5
4,3
4,8
2,3
4,3
4,6
4,10
4,2
4,9
4,13
4,16
4,0
4,3
4,4
4,4
4,2
4,9
4,3
4,5
0,0
2,4
4,4
4,2
4,7
4,6
4,2
2,7
2,3
4,1
4,16
4,1
1,2
4,27
4,2
4,23
4,0
4,3
4,9
4,2
1,24
1,6
0,0
1,9
4,9
1,7
4,16
4,12
4,7
4,11
4,6
4,4
4,2
4,14
1,4
4,4
4,3
4,1
4,9
4,26
4,2
4,4
4,10
4,2
4,11
4,2
4,26
4,21
4,6
3,2
4,11
4,7
4,17
4,3
4,4
1,11
4,7
4,13
3,6
4,5
4,0
4,0
1,28
4,12
4,20
4,1
2,13
4,6
4,5
1,14
1,5
4,7
4,41
4,17
4,4
4,3
4,9
4,5
4,4
0,0
4,22
4,7
4,16
2,11
4,2
4,6
4,2
4,8
2,24
4,4
4,1
4,9
4,4
4,12
4,0
4,8
1,27
4,12
4,1
4,29
4,1
4,13
1,13
1,22
4,1
4,3
4,18
0,15
4,5
4,2
4,5
4,14
4,6
4,8
4,9
4,10
1,15
4,5
1,14
4,4
4,2
4,3
2,13
4,6
4,11
4,14
4,20
4,3
4,13
1,15
4,9
4,15
4,12
4,21
4,24
4,6
2,6
4,20
4,2
1,11
4,5
4,6
4,15
3,18
4,14
1,5
4,4
4,9
4,14
4,5
4,6
4,30
4,5
4,13
4,7
2,20
4,6
4,3
1,5
0,0
0,0
4,11
1,6
4,2
4,4
2,6
4,2
4,2
4,4
4,6
4,32
4,3
4,8
4,4
4,19
4,13
4,2
4,2
4,16
4,5
1,10
1,1
1,11
4,4
2,3
4,20
4,3
4,11
4,4
4,8
4,6
1,6
4,11
4,4
4,0
1,8
4,5
4,7
4,6
4,8
2,1
4,4
3,9
1,4
4,7
1,2
1,17
4,7
4,11
1,0
1,19
4,4
4,3
4,1
2,17
1,6
1,4
1,16
4,7
1,54
4,3
4,8
4,8
4,3
2,8
4,6
4,3
4,8
4,15
2,9
4,15
4,5
4,8
4,5
4,18
1,12
1,22
4,1
1,63
4,1
4,2
4,19
4,12
1,37
4,8
1,21
1,9
2,18
4,5
1,13
4,6
4,26
4,7
4,10
4,3
4,6
4,0
1,4
1,14
4,4
1,5
4,4
4,3
4,3
4,7
4,7
4,5
3,4
4,0
1,6
1,21
4,8
1,21
2,8
4,14
4,5
1,9
4,11
1,12
4,9
2,3
4,3
4,8
4,8
4,3
3,13
4,4
3,3
4,11
1,0
4,7
3,10
1,20
4,8
4,1
1,5
4,8
2,3
4,18
4,3
4,3
4,17
4,10
3,5
4,3
4,13
4,6
4,6
0,15
4,0
1,5
1,6
4,25
4,7
2,4
4,1
4,4
4,18
1,7
4,8
1,4
4,4
3,9
4,4
4,4
4,10
4,4
0,11
4,7
4,9
1,17
4,11
1,22
4,1
4,8
4,5
1,7
4,23
4,3
4,4
4,8
4,8
4,5
4,4
4,2
4,2
4,7
3,6
4,2
3,4
4,21
4,4
4,3
2,15
3,17
4,3
4,5
4,2
4,4
4,0
4,3
4,4
4,21
1,8
4,3
4,9
1,8
4,2
1,20
4,4
4,10
4,12
4,5
4,8
4,27
4,5
4,15
4,3
4,4
1,7
4,32
4,4
4,4
1,23
4,3
4,6
4,4
1,8
4,5
4,9
4,13
4,3
4,6
4,3
4,2
4,1
4,1
4,20
4,18
4,9
4,9
4,7
4,10
1,12
4,6
4,4
4,31
4,3
1,3
4,1
1,6
4,22
4,17
4,8
4,5
4,9
4,5
4,4
1,8
0,0
4,15
1,8
4,4
1,3
4,7
4,3
4,7
1,9
4,10
4,5
4,2
2,16
4,13
1,32
4,3
0,6
1,13
4,15
4,4
4,6
4,0
0,11
3,8
4,1
4,9
4,8
4,3
4,3
4,8
4,12
4,7
4,6
4,7
4,1
